run_datetime,price
2026-09-18 02:27:34 UTC+3,87.0
2026-09-18 02:35:11 UTC+3,87.0
2026-09-18 04:29:37 UTC+3,97.0
2026-09-18 09:38:25 UTC+3,87.0
2026-09-18 14:50:18 UTC+3,87.0
2026-09-18 19:42:51 UTC+3,87.0
2026-09-18 22:57:15 UTC+3,87.0
2026-09-19 01:48:35 UTC+3,87.0
2026-09-19 04:34:56 UTC+3,97.0
2026-09-19 09:36:29 UTC+3,87.0
2026-09-19 14:32:15 UTC+3,87.0
2026-09-19 17:46:51 UTC+3,87.0
2026-09-19 21:12:27 UTC+3,87.0
2026-09-19 23:59:27 UTC+3,87.0
2026-09-20 02:31:50 UTC+3,87.0
2026-09-20 04:37:28 UTC+3,97.0
2026-09-20 10:02:11 UTC+3,87.0
2026-09-20 15:37:03 UTC+3,87.0
